State,City,Scale_of_Operation,Monthly_Production_Tons,Machine_Utilization_Pct,Skilled_Labor_Pct,Transport_Cost_Rs_per_Ton,Quality_Rejection_Rate_Pct,Avg_Selling_Price_Rs_sqm,Net_Profit_Margin_Pct,Profitability_Class
Gujarat,Bhavnagar,Small,1219.26,80.67,48.62,2119.98,8.6,1566.76,7.586,Low
Andhra Pradesh,Ongole,Large,3944.5,98.0,75.91,2212.45,,1755.32,19.187,High
Tamil Nadu,Dharmapuri,Large,5369.56,84.56,38.12,1313.85,2.35,2730.57,21.746,High
Tamil Nadu,Krishnagiri,Medium,2832.39,84.4,70.72,973.59,3.7,3027.44,22.424,High
Andhra Pradesh,Kadapa,Medium,2317.86,76.11,72.77,2592.26,4.35,2189.36,14.958,Medium
Andhra Pradesh,Nellore,Large,4604.67,77.05,69.1,2098.84,2.61,1893.13,18.759,High
Gujarat,Bhavnagar,Medium,2773.17,76.28,47.13,1608.3,5.06,1624.28,10.32,Medium
Rajasthan,Kishangarh,Small,1357.47,82.72,47.45,2515.74,5.96,2149.7,10.598,Medium
Tamil Nadu,Salem,Large,5422.14,48.98,67.51,1669.98,4.39,2520.79,22.922,High
Andhra Pradesh,Guntur,Medium,3124.34,75.17,37.62,1241.2,5.13,1881.66,11.361,Medium
Gujarat,Ahmedabad,Medium,2069.75,83.17,52.06,2314.32,3.88,1887.22,11.08,Medium
Andhra Pradesh,Ongole,Medium,2401.03,64.46,51.62,1262.93,2.05,2096.48,11.383,Medium
Karnataka,Chitradurga,Medium,3062.09,80.54,63.14,1715.12,7.72,2023.23,17.271,High
Rajasthan,Makrana,Large,5191.58,84.99,49.72,2315.98,6.69,2228.42,20.217,High
Tamil Nadu,Salem,Small,1588.54,69.98,72.33,1235.5,6.67,2124.17,15.94,Medium
Andhra Pradesh,Ongole,Large,4428.45,85.52,80.41,1958.67,5.23,2239.92,21.568,High
Gujarat,Bhavnagar,Large,3480.41,74.71,40.46,1981.26,7.33,1096.44,11.168,Medium
Andhra Pradesh,Kurnool,Medium,2216.86,77.78,34.88,961.39,10.68,2000.83,11.205,Medium
Tamil Nadu,Dharmapuri,Medium,3114.75,74.62,74.76,1381.94,5.27,2511.5,19.363,High
Rajasthan,Jaipur,Small,1522.28,84.11,51.67,2259.09,7.5,1978.61,12.523,Medium
Karnataka,Chitradurga,Small,1380.1,91.61,27.54,2426.84,2.01,2429.47,12.198,Medium
Tamil Nadu,Madurai,Small,1644.92,67.48,41.99,2015.43,10.23,2451.11,10.287,Medium
Rajasthan,Udaipur,Medium,2865.13,83.81,47.98,1630.13,3.61,2118.02,15.107,Medium
Karnataka,Hassan,Medium,2473.08,69.68,68.37,2249.41,6.98,2595.59,12.716,Medium
Rajasthan,Jodhpur,Small,1640.5,69.16,74.24,1704.83,8.52,2206.77,13.947,Medium
Rajasthan,Jaipur,Small,1958.83,65.95,54.21,1970.2,6.51,2079.65,9.382,Medium
Telangana,Warangal,Large,3811.53,57.41,66.57,2025.81,5.81,1923.93,13.924,Medium
Rajasthan,Makrana,Small,1217.95,81.81,44.0,1547.99,12.19,2073.2,2.084997832149817,Medium
Telangana,Karimnagar,Large,4841.97,81.48,87.3,2447.35,4.52,2022.89,18.373,High
Andhra Pradesh,Nellore,Small,1625.86,76.06,40.43,2247.31,7.56,1969.68,9.505,Medium
Rajasthan,Udaipur,Medium,2474.75,92.66,60.92,1840.52,7.86,2059.35,15.459,Medium
Karnataka,Mysuru,Small,1733.41,95.35,39.41,1594.97,9.78,2270.61,11.956,Medium
Tamil Nadu,Madurai,Medium,3010.15,87.71,39.32,1881.02,4.74,2080.01,15.713,Medium
Andhra Pradesh,Ongole,Medium,2330.96,61.25,54.01,1205.14,,1900.7,10.263,Medium
Rajasthan,Makrana,Small,1611.12,68.72,45.01,1732.42,7.44,2097.44,9.304,Medium
Tamil Nadu,Chennai,Medium,3060.64,59.01,42.44,1214.43,5.15,2154.56,13.72,Medium
Tamil Nadu,Krishnagiri,Medium,3249.38,68.44,50.99,1283.41,6.61,2312.11,20.418,High
Gujarat,Rajkot,Medium,2263.91,72.44,83.76,2464.45,4.01,2003.12,10.733,Medium
Andhra Pradesh,Guntur,Medium,1865.03,78.41,64.5,1334.22,,1945.1,17.548,High
Tamil Nadu,Madurai,Small,2411.43,61.09,48.26,1616.76,3.02,2676.04,13.718,Medium
Telangana,Khammam,Medium,2440.91,71.08,60.34,2211.0,7.02,1928.89,9.509,Medium
Gujarat,Rajkot,Large,4207.01,65.28,84.19,2027.56,6.52,1849.29,15.653,Medium
Tamil Nadu,Dharmapuri,Large,5585.74,71.69,61.37,1839.24,,2332.67,22.231,High
Karnataka,Chitradurga,Large,5124.14,90.8,70.9,1611.83,5.34,2104.45,21.473,High
Tamil Nadu,Krishnagiri,Small,1839.32,66.78,63.3,1238.99,9.69,2805.15,16.824,High
Karnataka,Hassan,Medium,3783.37,91.12,83.6,2405.58,6.23,2284.18,18.141,High
Tamil Nadu,Krishnagiri,Medium,2920.95,82.5,52.96,1291.53,7.23,2069.39,17.452,High
Tamil Nadu,Chennai,Small,1446.19,81.82,41.27,2025.97,8.73,2041.97,9.991,Medium
Tamil Nadu,Madurai,Large,5213.55,98.0,57.54,1893.77,0.5,2631.17,24.026,High
Andhra Pradesh,Kadapa,Medium,2668.34,76.84,67.47,1464.98,2.54,2016.58,17.154,High
Tamil Nadu,Madurai,Small,1521.22,59.74,60.43,2006.89,12.58,2112.93,9.268,Medium
Rajasthan,Udaipur,Small,1817.07,67.52,59.05,1891.47,8.74,1909.99,11.586,Medium
Tamil Nadu,Dharmapuri,Large,5726.26,59.02,78.02,1766.93,3.52,2937.59,21.522,High
Telangana,Warangal,Small,1476.37,90.42,61.79,2194.12,5.25,2015.9,8.03,Medium
Tamil Nadu,Madurai,Small,1668.66,68.67,43.57,1276.9,11.27,1999.15,11.25,Medium
Tamil Nadu,Chennai,Medium,3259.4,61.41,34.5,1918.93,4.6,1788.54,13.376,Medium
Tamil Nadu,Chennai,Small,2058.5,62.51,44.06,2521.89,11.33,2640.66,8.495,Medium
Tamil Nadu,Krishnagiri,Large,5223.85,83.31,73.53,1744.28,0.59,2399.54,25.92,High
Tamil Nadu,Salem,Medium,3356.53,78.64,64.6,2007.84,10.01,2334.93,15.804,High
Telangana,Nizamabad,Medium,2518.26,74.14,38.58,2283.5,7.54,1673.57,10.448,Medium
Tamil Nadu,Chennai,Large,5355.99,78.04,26.83,1673.29,10.82,1857.46,17.726,High
Tamil Nadu,Salem,Medium,3334.36,77.99,69.92,1419.04,3.48,2721.21,19.583,High
Andhra Pradesh,Guntur,Small,2027.98,55.09,60.08,1893.43,11.47,1629.45,5.595,Low
Tamil Nadu,Chennai,Medium,3007.27,72.2,61.64,1786.71,6.84,2300.63,19.621,High
Tamil Nadu,Salem,Medium,3069.01,64.07,61.17,1385.7,7.31,2857.5,17.453,High
Andhra Pradesh,Ongole,Small,908.7,49.12,51.96,1286.36,10.63,1792.66,5.059,Low
Gujarat,Bhavnagar,Medium,2283.66,62.4,41.47,1930.91,11.1,1573.38,5.561,Low
Rajasthan,Udaipur,Large,4621.37,70.69,58.89,2226.48,4.69,1825.1,19.964,High
Tamil Nadu,Dharmapuri,Medium,3310.92,98.0,55.01,1364.12,6.57,1869.12,18.032,High
Telangana,Karimnagar,Large,4685.15,85.97,56.8,1534.74,5.94,2008.27,18.418,High
Karnataka,Bengaluru,Medium,2610.42,72.32,50.58,1302.01,7.38,2341.9,14.552,Medium
Rajasthan,Udaipur,Medium,2526.64,67.75,63.35,1553.44,8.0,2211.69,15.712,Medium
Rajasthan,Makrana,Large,4876.87,73.53,54.11,,,2242.59,18.362,High
Karnataka,Chitradurga,Small,1522.88,61.3,33.73,2202.45,4.33,2082.23,10.572,Medium
Telangana,Karimnagar,Small,1122.96,72.63,63.84,1193.96,9.29,2163.28,7.034,Low
Telangana,Karimnagar,Medium,2091.62,91.92,81.99,2802.65,8.01,2119.5,10.883,Medium
Tamil Nadu,Krishnagiri,Medium,2862.88,56.72,31.2,1037.76,6.72,2394.77,13.491,Medium
Gujarat,Ahmedabad,Small,1304.1,71.1,55.71,2078.92,8.24,1710.9,7.335,Low
Karnataka,Hassan,Small,1612.25,87.62,43.92,,7.82,1843.8,11.983,Medium
Tamil Nadu,Chennai,Small,2284.34,77.31,69.97,1549.3,7.91,2338.48,7.2520983384402555,High
Tamil Nadu,Salem,Medium,3138.89,67.64,63.78,,3.67,1925.53,16.661,High
Tamil Nadu,Krishnagiri,Large,6009.51,91.31,81.81,1729.43,4.58,2472.96,28.0,High
Rajasthan,Jaipur,Large,4579.8,69.52,57.27,2008.86,6.38,1859.3,15.001,Medium
Andhra Pradesh,Kurnool,Medium,2278.19,60.96,58.52,1364.4,5.88,2319.77,11.942,Medium
Tamil Nadu,Krishnagiri,Large,6029.4,98.0,92.0,1017.54,9.09,2663.47,28.0,High
Andhra Pradesh,Nellore,Medium,2263.46,74.94,55.91,961.67,2.55,2457.45,17.367,High
Rajasthan,Jaipur,Small,1181.88,71.12,63.31,1980.47,9.74,1929.98,9.115,Medium
Tamil Nadu,Madurai,Small,1402.56,76.39,66.89,1836.9,8.81,2707.24,12.156,Medium
Karnataka,Bengaluru,Medium,3609.91,69.53,45.49,2422.35,4.24,2212.37,14.153,Medium
Telangana,Karimnagar,Small,1357.46,66.45,20.79,1360.65,7.11,1770.3,5.479,Low
Gujarat,Bhavnagar,Medium,2208.1,94.19,34.03,1418.7,5.02,1495.73,7.611,Low
Karnataka,Chitradurga,Medium,2762.7,95.12,35.06,1266.65,4.94,2027.71,17.694,High
Andhra Pradesh,Kurnool,Medium,2558.38,58.9,54.53,2145.69,2.87,2176.98,15.331,Medium
Telangana,Nizamabad,Large,3910.92,79.56,71.41,2143.77,5.62,1922.03,13.049,Medium
Tamil Nadu,Salem,Medium,3554.89,70.75,75.59,1011.55,3.98,2592.33,15.793,Medium
Andhra Pradesh,Nellore,Small,1169.25,78.65,36.73,2123.36,6.15,1474.13,3.826,Low
Telangana,Hyderabad,Medium,2780.56,61.57,91.39,1702.34,6.66,2333.29,16.416,High
Rajasthan,Kishangarh,Medium,3213.77,79.53,74.34,1926.82,,1838.41,15.986,Medium
Tamil Nadu,Dharmapuri,Small,1677.44,81.46,48.12,975.69,8.8,2416.7,12.81,Medium
Rajasthan,Udaipur,Small,2009.27,77.45,92.0,1482.73,9.72,2341.3,14.593,Medium
Telangana,Hyderabad,Medium,2057.65,79.88,63.26,1386.87,1.83,1469.23,14.161,Medium
Andhra Pradesh,Nellore,Large,3816.73,81.38,68.31,1647.79,4.94,2012.68,19.866,High
Tamil Nadu,Dharmapuri,Medium,3296.69,85.14,39.91,1793.66,9.62,2282.59,17.165,High
Andhra Pradesh,Nellore,Large,4245.81,83.69,49.84,1301.58,1.5,2043.37,20.0,High
Andhra Pradesh,Guntur,Large,4827.88,66.64,71.73,1244.22,6.73,2100.15,16.825,High
Andhra Pradesh,Kadapa,Small,1473.25,53.3,56.0,1371.37,11.03,1572.5,5.231,Low
Telangana,Hyderabad,Medium,2324.47,82.01,61.58,2644.27,2.16,2157.51,11.101,Medium
Rajasthan,Makrana,Medium,2722.67,89.87,45.07,1560.89,8.8,1853.85,16.682,High
Andhra Pradesh,Kadapa,Small,1291.23,78.56,60.84,1179.87,8.88,1830.27,11.093,Medium
Rajasthan,Jaipur,Medium,2485.0,81.34,58.08,1096.84,5.73,2086.88,16.387,High
Rajasthan,Kishangarh,Medium,2221.92,62.17,45.92,1142.94,9.02,2291.84,9.497,Medium
Gujarat,Rajkot,Small,1021.23,71.94,36.33,1754.95,10.34,1532.91,1.5,Low
Tamil Nadu,Madurai,Large,5803.49,90.92,64.86,964.83,2.63,2435.03,23.732,High
Telangana,Nizamabad,Medium,2331.17,78.75,71.99,1381.46,3.64,2340.24,15.854,Medium
Gujarat,Surat,Large,3819.71,82.57,79.95,2196.38,4.22,1616.65,14.864,Medium
Andhra Pradesh,Nellore,Small,1442.96,83.12,44.3,2302.98,9.59,1703.37,10.02,Medium
Gujarat,Bhavnagar,Large,3324.61,86.45,55.57,2235.1,4.95,1963.01,11.706,Medium
Tamil Nadu,Dharmapuri,Small,1915.64,84.41,49.7,2265.9,7.3,2467.22,13.854,Medium
Rajasthan,Jaipur,Small,1288.33,77.78,55.44,2473.4,6.98,1942.1,11.271,Medium
Tamil Nadu,Salem,Medium,3078.4,73.59,39.23,2258.41,7.98,2062.53,9.335,Medium
Andhra Pradesh,Ongole,Medium,3599.33,59.83,52.6,1691.29,7.34,1994.21,12.289,Medium
Gujarat,Ahmedabad,Medium,1640.17,94.58,55.65,2010.5,5.21,1401.57,10.354,Medium
Telangana,Warangal,Medium,2971.46,64.01,59.01,2476.13,4.19,2086.58,5.097,Low
Tamil Nadu,Salem,Small,1746.12,81.14,38.62,1972.94,9.47,2324.63,10.976,Medium
Karnataka,Bengaluru,Medium,3145.02,73.52,41.85,2220.89,2.68,2110.73,16.334,High
Karnataka,Bengaluru,Medium,2671.47,98.0,61.45,1594.72,4.75,2343.7,17.543,High
Telangana,Nizamabad,Medium,2634.27,78.33,66.52,1444.08,5.43,2297.61,10.947,Medium
Tamil Nadu,Salem,Medium,3049.24,92.8,60.9,1396.87,6.05,2559.15,17.152,High
Karnataka,Bengaluru,Large,4841.12,79.45,74.51,1626.15,3.14,2436.08,22.052,High
Telangana,Khammam,Medium,2778.81,73.61,65.13,2559.03,2.36,2146.24,14.132,Medium
Andhra Pradesh,Kurnool,Medium,2319.54,98.0,47.01,2463.11,9.91,2225.97,12.655,Medium
Telangana,Khammam,Large,3578.2,65.33,82.28,2177.08,4.53,2214.73,12.213,Medium
Telangana,Khammam,Medium,2199.82,98.0,50.82,1804.16,8.64,1739.13,10.635,Medium
Karnataka,Chitradurga,Small,1825.4,93.42,41.34,1261.63,15.11,2105.69,12.168,Medium
Andhra Pradesh,Nellore,Small,1833.9,66.58,22.25,1836.12,8.9,1780.24,2.354,Low
Andhra Pradesh,Guntur,Medium,2424.57,85.01,48.76,1454.93,6.63,1837.31,11.721,Medium
Karnataka,Mysuru,Small,1359.65,59.13,47.06,1211.79,7.55,1993.54,6.754,Low
Rajasthan,Kishangarh,Medium,2433.99,84.64,51.16,1803.0,6.74,2284.22,14.72,Medium
Rajasthan,Udaipur,Small,1661.0,77.54,59.69,2375.28,9.07,2215.78,11.634,Medium
Rajasthan,Jaipur,Small,1765.97,83.38,72.14,2453.05,7.17,2424.11,17.243,High
Karnataka,Chitradurga,Medium,3190.39,71.8,74.23,1255.58,8.19,2056.2,16.763,High
Tamil Nadu,Dharmapuri,Large,5367.75,82.38,36.54,1617.42,4.41,2232.42,20.527,High
Andhra Pradesh,Guntur,Medium,2469.96,72.63,71.1,1924.75,6.48,1899.37,13.191,Medium
Rajasthan,Udaipur,Large,4754.99,72.78,74.53,1849.11,5.1,2099.18,19.09,High
Telangana,Khammam,Large,4182.66,90.31,88.04,2550.25,1.11,2122.74,20.715,High
Rajasthan,Jodhpur,Small,1427.01,73.12,40.27,1673.01,9.45,1788.93,11.768,Medium
Andhra Pradesh,Nellore,Small,1808.36,81.21,41.9,2166.63,,2096.0,6.829,Low
Karnataka,Hassan,Medium,3034.55,63.0,67.33,1383.73,2.56,2336.18,14.857,Medium
Andhra Pradesh,Ongole,Large,4465.36,59.38,78.59,1972.4,8.45,1950.32,15.909,Medium
Rajasthan,Makrana,Medium,2974.5,57.26,50.11,1509.33,5.37,2061.32,10.303,Medium
Rajasthan,Jaipur,Large,4569.71,87.19,62.4,2870.15,8.13,2362.63,20.027,High
Telangana,Hyderabad,Small,1346.23,63.51,59.77,1337.67,8.88,1414.76,4.053,Low
Rajasthan,Jaipur,Small,1414.15,88.2,59.61,2301.56,13.92,2225.89,13.807,Medium
Andhra Pradesh,Kurnool,Medium,2756.37,88.75,63.24,2123.88,6.64,1745.25,14.218,Medium
Telangana,Nizamabad,Medium,2257.59,83.94,55.53,1574.39,6.24,1544.52,10.562,Medium
Telangana,Nizamabad,Small,1971.66,80.78,36.64,2108.51,8.74,1516.2,6.927,Low
Telangana,Nizamabad,Small,760.24,79.18,48.78,2349.86,5.84,1577.65,7.688,Low
Telangana,Karimnagar,Small,355.43,89.19,34.02,1078.62,7.87,1727.94,8.05,Medium
Tamil Nadu,Madurai,Medium,3094.98,75.74,59.05,1678.53,3.32,2096.04,17.741,High
Karnataka,Bengaluru,Large,4915.47,89.4,53.7,1922.95,7.47,1974.39,18.895,High
Tamil Nadu,Krishnagiri,Large,5363.74,69.43,46.72,2020.92,7.51,2553.25,20.867,High
Rajasthan,Jaipur,Medium,2513.48,62.55,92.0,1519.52,7.27,2579.85,16.569,High
Tamil Nadu,Krishnagiri,Medium,3601.88,74.62,33.46,1662.51,6.43,2126.7,13.681,Medium
Rajasthan,Jodhpur,Medium,2832.47,67.37,72.54,1747.35,2.33,2143.37,17.49,High
Karnataka,Ramanagara,Small,1513.08,68.35,55.26,2385.89,10.62,2042.33,9.789,Medium
Andhra Pradesh,Kurnool,Small,1979.91,92.71,59.43,1559.24,5.8,1963.16,11.044,Medium
Andhra Pradesh,Guntur,Small,1653.24,45.12,30.53,1381.81,11.67,1858.06,5.011,Low
Tamil Nadu,Salem,Large,5950.24,82.68,69.29,1924.11,7.39,2484.28,20.36,High
Gujarat,Bhavnagar,Large,3631.05,87.81,32.55,2346.34,7.72,1619.74,7.98,Low
Rajasthan,Jodhpur,Medium,2647.38,83.52,48.25,1711.33,5.06,2133.83,18.367,Low
Telangana,Warangal,Medium,2063.58,65.56,63.15,1898.6,4.25,1841.9,10.529,Medium
Andhra Pradesh,Guntur,Small,1226.68,92.53,69.35,1761.16,4.99,2041.65,13.946,Medium
Telangana,Warangal,Medium,2387.04,54.04,67.33,2453.67,7.79,2370.42,7.801,Low
Rajasthan,Udaipur,Medium,2593.14,66.08,53.18,2728.24,2.71,2120.44,12.569,Medium
Karnataka,Chitradurga,Medium,3669.43,68.78,60.28,1363.31,8.6,1928.62,16.769,High
Tamil Nadu,Krishnagiri,Small,1780.86,66.33,56.58,1404.5,8.94,2787.24,14.314,Medium
Rajasthan,Makrana,Large,5374.74,94.29,45.42,1462.34,4.75,2401.06,22.116,High
Andhra Pradesh,Guntur,Medium,2058.79,71.17,77.68,2428.45,10.0,2425.09,9.856,Medium
Telangana,Hyderabad,Large,4871.97,85.37,60.38,2037.02,6.85,1722.09,15.388,Medium
Gujarat,Ahmedabad,Large,3009.04,91.74,58.59,1340.27,1.55,2042.35,18.251,High
Tamil Nadu,Dharmapuri,Large,4839.63,70.61,47.9,1557.04,6.92,2450.46,15.333,Medium
Rajasthan,Jodhpur,Small,1013.57,71.12,20.0,1571.35,5.87,1464.58,5.325,Low
Rajasthan,Jodhpur,Small,1506.92,95.9,79.14,2021.99,7.04,2139.62,17.65,High
Telangana,Hyderabad,Small,1498.25,77.47,27.39,2150.32,11.42,1459.29,1.5,Low
Telangana,Nizamabad,Small,1649.16,59.07,57.75,2579.48,6.94,1697.39,4.392,Low
Karnataka,Mysuru,Medium,3061.34,59.74,61.57,2101.63,7.78,2398.57,15.318,Medium
Tamil Nadu,Madurai,Medium,3631.59,88.62,57.79,1961.09,6.1,2233.62,19.386,High
Tamil Nadu,Krishnagiri,Medium,2794.75,55.58,46.62,1904.4,5.84,2271.9,14.311,Medium
Telangana,Warangal,Small,1787.24,67.38,40.34,,5.66,1833.46,7.213,Low
Telangana,Nizamabad,Large,4315.01,79.78,67.01,1134.38,2.75,1828.93,18.841,High
Rajasthan,Jaipur,Small,2325.15,74.6,48.49,2718.9,9.49,1820.67,9.268,Medium
Karnataka,Bengaluru,Small,1698.61,90.46,47.94,1431.83,6.73,2007.01,11.464,Medium
Andhra Pradesh,Guntur,Medium,2491.01,44.84,54.02,2172.24,6.73,1883.77,6.765,Low
Karnataka,Hassan,Medium,2741.33,77.26,68.87,1532.48,5.84,2435.25,17.012,High
Gujarat,Bhavnagar,Medium,1963.02,69.25,59.44,1505.52,6.95,1738.6,6.235,Low
Tamil Nadu,Dharmapuri,Small,1892.25,85.76,51.71,882.39,11.36,1830.7,12.505,Medium
Tamil Nadu,Dharmapuri,Medium,3199.82,68.15,53.26,1290.05,7.94,2329.93,14.888,Medium
Telangana,Karimnagar,Small,1603.26,70.13,62.57,2583.37,14.42,1841.75,7.464,Low
Rajasthan,Jaipur,Small,1231.9,74.44,41.94,2096.15,12.43,1879.37,4.115,Low
Andhra Pradesh,Kadapa,Medium,2401.82,65.63,44.73,1596.31,5.45,1789.05,1.0,Medium
Karnataka,Ramanagara,Small,1159.96,71.0,30.77,1512.98,9.42,1789.34,8.56,Medium
Karnataka,Bengaluru,Small,1410.66,67.67,52.4,2412.8,13.72,1933.74,8.802,Medium
Rajasthan,Makrana,Medium,3096.01,92.95,74.1,2871.37,10.05,2021.02,17.869,High
Gujarat,Bhavnagar,Large,4271.95,67.28,61.16,1410.14,7.73,1645.59,10.335,Medium
Tamil Nadu,Krishnagiri,Large,4580.2,71.25,78.56,1160.95,2.08,2558.45,23.304,High
Gujarat,Bhavnagar,Medium,2875.23,67.19,57.16,1067.21,9.04,1878.89,10.436,Medium
Andhra Pradesh,Guntur,Small,2034.01,72.49,49.42,1112.64,7.92,1960.1,8.748,Low
Rajasthan,Kishangarh,Small,1001.38,93.46,54.83,2082.35,8.27,2276.05,13.123,Medium
Tamil Nadu,Madurai,Small,2052.04,66.14,63.49,2001.45,6.55,2448.71,15.801,Medium
Tamil Nadu,Dharmapuri,Medium,2910.22,98.0,22.96,1252.06,6.69,2037.13,17.613,High
Karnataka,Bengaluru,Medium,2716.11,75.81,61.0,1683.97,6.11,2175.38,16.744,High
Rajasthan,Makrana,Medium,3098.04,61.32,71.55,2268.8,,2161.9,16.751,High
Andhra Pradesh,Ongole,Medium,2620.45,62.87,71.91,1225.27,0.85,2304.41,13.94,Medium
Andhra Pradesh,Guntur,Small,1147.8,45.64,43.85,1589.69,5.81,1732.6,4.343,Low
Tamil Nadu,Salem,Medium,3028.46,76.48,83.04,1514.89,,2516.98,19.741,High
Gujarat,Surat,Small,1141.02,83.21,64.64,1238.38,,1645.23,6.193,Low
Karnataka,Chitradurga,Medium,3167.38,72.53,71.29,1884.42,4.98,2417.28,19.617,High
Karnataka,Ramanagara,Medium,2480.6,84.29,57.92,1442.33,8.94,2667.03,17.42,High
Tamil Nadu,Chennai,Medium,2934.3,79.09,54.33,2211.29,5.11,2556.77,17.777,High
Karnataka,Mysuru,Medium,3600.66,92.73,66.35,2259.36,4.88,2225.7,16.407,High
Rajasthan,Makrana,Medium,3120.35,58.47,54.4,2186.8,5.47,2199.43,10.483,Medium
Rajasthan,Udaipur,Small,1833.31,88.25,52.47,2006.52,2.74,1840.18,12.068,Medium
Andhra Pradesh,Guntur,Small,1234.76,98.0,46.12,1633.91,10.56,1825.65,5.357,Low
Tamil Nadu,Krishnagiri,Medium,2655.86,98.0,45.94,1927.19,4.33,2275.85,18.607,High
Tamil Nadu,Chennai,Small,1600.32,89.87,35.7,1964.97,12.92,2251.93,6.652,Low
Andhra Pradesh,Kadapa,Medium,2428.28,73.2,76.16,2211.97,6.16,2191.44,13.217,Medium
Tamil Nadu,Madurai,Medium,3756.56,62.7,90.39,1400.05,6.14,2409.59,22.199,High
Karnataka,Hassan,Large,4942.39,67.33,84.76,,6.0,2645.15,22.292,High
Tamil Nadu,Madurai,Large,5731.84,74.96,77.27,1274.61,2.39,2857.74,24.322,High
Rajasthan,Udaipur,Small,1977.01,96.77,70.34,1153.44,4.09,2345.03,17.935,High
Tamil Nadu,Salem,Large,5108.8,76.79,77.2,1261.08,3.93,2706.82,26.172,High
Andhra Pradesh,Ongole,Medium,1748.32,71.34,56.45,1251.99,7.64,1841.05,11.478,Medium
Telangana,Nizamabad,Medium,2642.72,89.21,50.81,2201.35,8.14,1734.27,9.148,Medium
Karnataka,Bengaluru,Small,1862.11,35.0,39.71,1988.33,15.63,2032.99,2.786,Low
Telangana,Khammam,Large,4186.75,66.32,86.6,1082.4,3.08,2170.74,18.56,High
Gujarat,Bhavnagar,Small,667.4,96.57,48.02,952.77,9.31,1711.48,6.112,Low
Tamil Nadu,Chennai,Large,5408.18,91.06,68.36,1382.42,3.41,2915.62,27.786,High
Tamil Nadu,Salem,Small,1559.19,85.89,40.41,1798.04,10.31,2161.71,7.282,Low
Rajasthan,Makrana,Medium,2779.33,63.13,46.48,2471.86,5.35,2058.66,11.596,Medium
Rajasthan,Makrana,Medium,2278.66,95.24,34.4,2789.72,3.9,1866.6,13.226,Medium
Rajasthan,Makrana,Small,1668.77,63.59,44.61,2296.89,8.98,2082.66,6.674,Low
Gujarat,Rajkot,Small,1509.62,72.36,66.76,2034.33,12.45,1408.13,3.59,Low
Tamil Nadu,Madurai,Medium,2755.51,79.13,65.16,1267.63,6.06,2258.71,22.516,High
Gujarat,Ahmedabad,Small,1644.43,84.95,57.53,1993.77,7.45,1627.41,6.826,Low
Rajasthan,Jaipur,Medium,2894.39,82.37,53.74,2310.64,8.09,1739.02,12.595,Medium
Telangana,Hyderabad,Medium,2868.82,69.64,69.98,1864.1,3.28,1896.29,13.364,Medium
Telangana,Karimnagar,Large,3803.48,60.58,61.19,1879.34,9.95,1979.38,10.617,Medium
Gujarat,Surat,Medium,2447.86,81.49,64.49,998.12,6.19,1274.49,10.148,Medium
Gujarat,Ahmedabad,Small,882.08,51.94,43.44,2230.91,11.59,1639.55,1.5,Low
Gujarat,Bhavnagar,Small,1104.21,78.64,63.89,1729.62,8.44,1913.17,7.228,Low
